Jogos, Categoria , Avaliação
Sudoku , Quebra-cabeça , 4.8
Solitário , Cartas , 4.7
Pilha Palavras , Palavras , 4.7
Palavras Conectadas , Palavras , 4.7
Energy , Quebra-cabeça , 4.7
Narcos , Estratégia , 4.6
Crazy Chef , Estratégia , 4.6
Words of Wonders , Palavras , 4.6
Vampire’s Fall , RPG , 4.6
Exiled Kingdoms , RPG , 4.6
Archero , Ação , 4.5
Sniper 3D , Ação , 4.5
Buraco , Cartas , 4.5
FreeCell , Cartas , 4.5
Real Racing 3 , Corrida , 4.5
CodyCross , Palavras , 4.5
Caça-palavras , Palavras , 4.5
Jewels clássico  , Quebra-cabeça , 4.5
Block Puzzle , Quebra-cabeça , 4.5
Spot Conect , Quebra-cabeça , 4.5
Temple Run 2 , Ação , 4.4
Paciência , Cartas , 4.4
Corrida de Rua 3D , Corrida , 4.4
Basketball , Esportes , 4.4
Estalido Tênis 3D , Esportes , 4.4
Atirador de Bolhas , Estratégia , 4.4
Evil Lands , RPG , 4.4
Snowboard Master 3D , Esportes , 4.3
Fúria Sniper , Ação , 4.2
Corrida de Moto Real 3D , Corrida , 4.2
Pes 2019 , Esportes , 4.2
Xadrez , Estratégia , 4.2
Fifa Futebol , Esportes , 4.1
Nova Fantasia  , RPG , 4.1
The Journey Jogo de surf , Esportes , 4.0
Influence , Estratégia , 4.0
Correndo no carro , Corrida , 3.9
Order & Chaos 2 , RPG , 3.9
Super Mario Run , Ação , 3.8
Futebol , Esportes , 2.8
